date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:24:27	1334/1334	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268a532d2-536%22	https://m.wailianvisa.com/assets/js/vw-polyfill.min.js	G:/Websites/test/m.wailianvisa.com/assets/js/vw-polyfill.min.js	(from https://m.wailianvisa.com/)
21:24:29	30558/30558	---M-Z	200	added ('OK')	application/javascript	etag:ec3e8d3211238262c94157767769a6d0	https://hm.baidu.com/hm.js?f8aa2bda81a5459d095227cf9d3fb93a	G:/Websites/test/hm.baidu.com/hm885c.js	(from https://m.wailianvisa.com/)
21:24:31	13091/13091	---MCZ	200	added ('OK')	application/javascript	etag:W/%22690cfff6-3323%22	https://webchat.7moor.com/javascripts/7moorInit.js?accessId=29fbba30-b351-11ee-ad68-bbc91ffdb0e1&autoShow=false&language=ZHCN	G:/Websites/test/webchat.7moor.com/javascripts/7moorInit7d48.js	(from https://m.wailianvisa.com/)
21:24:42	65296/65296	---M--	200	added ('OK')	text/javascript	etag:10072050353323454019	http://www.googleadservices.com/pagead/conversion.js	G:/Websites/test/www.googleadservices.com/pagead/f.txt	(from https://m.wailianvisa.com/)
21:24:55	77608/77608	---M--	200	added ('OK')	image/png	etag:%22Fm3ITnPW3ilo8_yObrrVVM4BaWjq%22	https://static.leapoon.com/Pwebsite/mobile/mb-login_bg.png	G:/Websites/test/static.leapoon.com/Pwebsite/mobile/mb-login_bg.png_;%20filename_=utf-8''mb-login_bg.png	(from https://m.wailianvisa.com/assets/css/layout-8aabd1453acc0a2ce9291266b452e588.css)
21:25:10	17580/17580	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Nov%202025%2013:24:54%20GMT	https://m.wailianvisa.com/activities/past	G:/Websites/test/m.wailianvisa.com/activities/past.html	(from https://m.wailianvisa.com/activities)
21:25:24	19521/19521	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Nov%202025%2013:25:08%20GMT	https://m.wailianvisa.com/activities/290.html?type=1	G:/Websites/test/m.wailianvisa.com/activities/29010b0.html	(from https://m.wailianvisa.com/activities)
21:25:44	1031983/1031983	---M--	200	added ('OK')	image/png	etag:%22FuiPBzUiz2aRS09TkNjqWYNFGXg5%22	http://files.leapoon.com/PMarketing/Article/20251106/ot1762415262.png	G:/Websites/test/files.leapoon.com/PMarketing/Article/20251106/ot1762415262.png_;%20filename_=utf-8''ot1762415262.png	(from https://m.wailianvisa.com/)
21:25:48	1218737/1218737	---M--	200	added ('OK')	image/png	etag:%22FuyE2JYl1dcUzt9F5uph6OWoM212%22	http://files.leapoon.com/PMarketing/Article/20251112/ot1762935091.png	G:/Websites/test/files.leapoon.com/PMarketing/Article/20251112/ot1762935091.png_;%20filename_=utf-8''ot1762935091.png	(from https://m.wailianvisa.com/)
21:26:01	308024/308024	---M--	200	added ('OK')	image/jpeg	etag:%22Fir1VYsGbP0tXSkf-h4dYmcSXV4i%22	https://static.leapoon.com/PWebsite/0e38dee3-9136-44ca-a21f-8a8300d0d8dc/8a4714371dd7b17b361dd840d8ddff5c.jpg	G:/Websites/test/static.leapoon.com/PWebsite/0e38dee3-9136-44ca-a21f-8a8300d0d8dc/8a4714371dd7b17b361dd840d8ddff5c.jpg_;%20filename_=utf-8''8a4714371dd7b17b361dd840d8ddff5c.jpg	(from https://m.wailianvisa.com/activities)
